1000 1053 
 379 431
 179 877
 6 612
 656 977
 128 153
 186 589
 48 719
 235 310
 200 843
 186 510
 238 623
 635 888
 366 992
 52 461
 531 766
 295 665
 222 987
 136 966
 373 470
 439 587
 305 605
 662 681
 879 890
 116 874
 24 317
 840 914
 131 557
 542 923
 492 688
 649 665
 593 743
 28 551
 351 797
 284 440
 430 805
 15 910
 659 904
 480 593
 494 527
 318 358
 218 815
 510 771
 309 851
 320 669
 521 955
 572 944
 88 455
 123 736
 723 995
 139 170
 31 797
 767 903
 224 347
 586 920
 327 449
 52 488
 28 932
 19 491
 536 681
 40 668
 121 142
 305 834
 703 704
 2 95
 310 415
 133 253
 17 910
 396 914
 246 983
 386 801
 66 508
 368 404
 685 803
 30 938
 3 429
 163 552
 389 391
 529 858
 97 479
 331 885
 64 239
 11 794
 26 552
 35 842
 763 898
 56 526
 234 443
 140 838
 172 759
 410 854
 182 919
 209 568
 99 763
 49 524
 34 201
 805 983
 154 643
 561 905
 403 609
 83 518
 37 312
 781 783
 599 606
 13 879
 208 861
 605 737
 117 477
 292 529
 66 535
 366 645
 552 754
 559 853
 452 942
 201 294
 538 746
 614 825
 532 864
 60 725
 261 494
 717 950
 160 544
 469 738
 193 462
 314 500
 220 693
 406 612
 107 575
 572 828
 548 588
 229 371
 118 199
 249 260
 68 819
 232 388
 667 878
 154 500
 584 889
 423 901
 103 810
 614 670
 268 754
 240 554
 629 996
 164 298
 231 778
 140 142
 433 885
 587 772
 171 912
 280 978
 382 623
 42 549
 46 291
 328 646
 274 759
 736 905
 857 943
 58 102
 183 375
 188 398
 356 556
 372 920
 251 477
 553 655
 112 765
 323 603
 29 582
 293 676
 578 697
 266 605
 258 808
 570 896
 816 915
 104 245
 965 993
 289 612
 254 591
 445 641
 48 935
 402 496
 316 966
 656 871
 216 457
 284 966
 572 855
 223 512
 406 683
 748 825
 324 325
 537 545
 277 607
 148 765
 179 247
 18 528
 410 741
 572 779
 184 700
 248 378
 55 633
 205 687
 43 892
 104 904
 578 712
 20 888
 380 990
 524 582
 24 334
 702 864
 854 921
 208 303
 272 716
 709 914
 364 459
 693 912
 512 642
 727 874
 10 52
 419 800
 428 995
 838 879
 268 705
 130 343
 443 873
 388 873
 410 876
 214 250
 257 838
 171 184
 379 671
 24 791
 399 828
 2 788
 327 539
 115 628
 176 394
 253 621
 369 479
 153 633
 35 829
 689 693
 347 917
 239 661
 132 627
 285 712
 188 302
 111 860
 343 382
 347 352
 123 671
 134 867
 751 843
 139 919
 467 564
 629 725
 595 933
 484 686
 243 274
 88 604
 277 391
 337 570
 537 616
 566 845
 33 250
 138 401
 349 923
 814 937
 482 739
 125 835
 622 858
 588 776
 210 769
 485 528
 626 825
 196 320
 810 873
 284 604
 566 769
 749 984
 711 856
 279 596
 28 961
 621 940
 465 907
 202 735
 325 572
 126 920
 536 921
 297 662
 77 114
 133 929
 558 858
 25 449
 156 528
 434 793
 570 669
 656 826
 144 298
 17 128
 99 991
 135 399
 205 451
 455 903
 449 921
 158 645
 360 756
 10 981
 265 507
 23 842
 541 906
 216 265
 186 947
 223 364
 35 701
 808 982
 965 968
 26 426
 300 422
 387 684
 42 261
 667 924
 271 656
 102 493
 39 291
 19 945
 62 733
 755 972
 961 995
 53 860
 299 838
 301 507
 75 302
 508 798
 464 917
 218 227
 283 511
 238 826
 184 801
 216 277
 323 760
 126 780
 79 946
 258 397
 606 637
 36 344
 547 851
 334 671
 458 610
 443 602
 453 801
 405 533
 538 974
 100 713
 83 714
 368 858
 158 625
 124 833
 74 396
 509 687
 158 748
 227 684
 330 408
 373 656
 816 841
 690 987
 445 623
 948 949
 693 961
 581 734
 20 878
 303 636
 210 486
 388 772
 912 964
 386 456
 166 965
 96 415
 0 828
 384 708
 662 776
 226 635
 579 787
 141 689
 22 594
 13 689
 9 411
 202 698
 543 649
 212 691
 695 864
 480 676
 179 249
 403 662
 626 835
 700 749
 397 581
 654 988
 285 977
 169 871
 50 252
 120 705
 243 741
 559 862
 1 375
 578 881
 320 398
 263 895
 627 797
 402 712
 163 298
 389 948
 531 876
 551 664
 572 995
 69 614
 259 588
 411 752
 524 552
 388 752
 248 272
 615 954
 435 598
 370 434
 64 676
 228 263
 883 935
 811 813
 424 731
 509 957
 172 262
 9 227
 439 829
 836 855
 874 998
 599 876
 9 760
 75 678
 547 770
 337 484
 758 847
 59 752
 546 940
 663 689
 572 606
 455 799
 578 861
 376 574
 306 525
 695 967
 318 755
 164 720
 269 760
 59 676
 223 629
 278 311
 220 761
 682 907
